Train Start,Train End,Test Start,Test End,Return_Predicted_Train,Return_Predicted_Test
2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.3596874922280212,0.05076472992495738
2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.45500893302022644,-0.0925245498320983
2006-08-10,2007-02-09,2007-02-12,2007-08-10,0.31839743585070895,0.07432217067657616
2007-02-12,2007-08-10,2007-08-13,2008-02-11,0.3131619307419573,-0.043115511638365425
2007-08-13,2008-02-11,2008-02-12,2008-08-11,0.40016400457423545,-0.041419774189349605
2008-02-12,2008-08-11,2008-08-12,2009-02-10,0.4960331895773284,0.1512977954789801
2008-08-12,2009-02-10,2009-02-11,2009-08-11,1.0417093918743336,-0.07827567963320982
2009-02-11,2009-08-11,2009-08-12,2010-02-10,1.0784718056818607,0.06323881302941622
2009-08-12,2010-02-10,2010-02-11,2010-08-11,0.47458385436438605,0.09753565225283624
2010-02-11,2010-08-11,2010-08-12,2011-02-09,0.48733193960789184,-0.09328885436084822
2010-08-12,2011-02-09,2011-02-10,2011-08-10,0.27751242858213143,0.09989516438377088
2011-02-10,2011-08-10,2011-08-11,2012-02-09,0.3783875092863571,-0.06264334693989725
2011-08-11,2012-02-09,2012-02-10,2012-08-09,0.49468378279080705,-0.12257240880818436
2012-02-10,2012-08-09,2012-08-10,2013-02-12,0.3136646656151373,-0.03466470874559615
2012-08-10,2013-02-12,2013-02-13,2013-08-13,0.5366085682930061,-0.0010450613159493122
2013-02-13,2013-08-13,2013-08-14,2014-02-12,0.5234995371177834,0.16015470413836927
2013-08-14,2014-02-12,2014-02-13,2014-08-13,0.46765436283404954,0.10926141029085866
2014-02-13,2014-08-13,2014-08-14,2015-02-12,0.24598567192266405,0.02170061297983991
2014-08-14,2015-02-12,2015-02-13,2015-08-13,0.44192632557256245,-0.1363349422278731
2015-02-13,2015-08-13,2015-08-14,2016-02-12,0.36437111088598845,0.10865655889025613
2015-08-14,2016-02-12,2016-02-16,2016-08-12,0.7796736825690754,-0.06895845093925529
2016-02-16,2016-08-12,2016-08-15,2017-02-13,0.5595064860958681,-0.05920001223808223
2016-08-15,2017-02-13,2017-02-14,2017-08-14,0.3681639462312643,0.16404348162407026
2017-02-14,2017-08-14,2017-08-15,2018-02-13,0.24798647940899693,0.10674304145444642
2017-08-15,2018-02-13,2018-02-14,2018-08-14,0.38165276376338625,-0.0781968147497095
2018-02-14,2018-08-14,2018-08-15,2019-02-14,0.2951047132929551,-0.038853790745658555
2018-08-15,2019-02-14,2019-02-15,2019-08-15,0.5553638872883248,-0.014209528144310828
2019-02-15,2019-08-15,2019-08-16,2020-02-14,0.4101267983115461,0.08282049886498033
2019-08-16,2020-02-14,2020-02-18,2020-08-14,0.5571559020061946,0.2870681969109586
2020-02-18,2020-08-14,2020-08-17,2021-02-16,1.1170369510620834,-0.098855098528948
2020-08-17,2021-02-16,2021-02-17,2021-08-16,0.46975044425170565,-0.19095396179438792
2021-02-17,2021-08-16,2021-08-17,2022-02-14,0.32744601259629835,0.06684336557695221
2021-08-17,2022-02-14,2022-02-15,2022-08-16,0.45903793026388423,-0.01879867702445479
2022-02-15,2022-08-16,2022-08-17,2023-02-15,0.6121002037748827,0.13846815842947666
2022-08-17,2023-02-15,2023-02-16,2023-08-17,0.683542531786191,0.050150478141401215
2023-02-16,2023-08-17,2023-08-18,2024-02-16,0.41249456265950635,0.08311652871138667
2023-08-18,2024-02-16,2024-02-20,2024-08-19,0.4644642238207744,0.21258708903823773
2024-02-20,2024-08-19,2024-08-20,2025-02-20,0.41029383125377217,0.11214117777967084
2024-08-20,2025-02-20,2025-02-21,2025-08-21,0.477167391943146,0.3005025490692497
