Start,End,Return_Predicted_Train,Market_Return_Train,Return_Predicted_Test,Market_Return_Test
2006-03-20,2006-09-15,1.129319850819032,1.130031452985329,1.0434855726508803,1.0417993019356286
2006-09-18,2007-03-20,1.2894700901136775,1.1831153548180025,0.9804558674120492,1.1529421630420167
2007-03-21,2007-09-18,1.2714446796511922,1.227772931831368,0.8906008585178062,1.2357064344648214
2007-09-19,2008-03-19,1.166497872416068,1.2169767352307037,0.7763118047191463,1.0926560264420242
2008-03-20,2008-09-17,0.8718823581366418,1.0666563566132354,0.6791896509174955,1.0539830463160047
2008-09-18,2009-03-19,0.690151185125112,1.0041317722419825,0.45336879321150214,0.8957353901610087
2009-03-20,2009-09-17,0.39974297847479284,0.9161862498379918,0.42483404430409044,1.4201462577854274
2009-09-18,2010-03-19,0.686250290576514,1.6342077509069248,0.45846656614028575,1.7111897255612347
2010-03-22,2010-09-17,0.7305379330749502,1.7186164649229205,0.4406074920595968,1.6618470338060842
2010-09-20,2011-03-18,0.6385936682466441,1.6381086027455076,0.41790977097819804,2.0167544339487975
2011-03-21,2011-09-16,0.6444602482339151,1.738776818768597,0.41010716344592957,1.8712229156149789
2011-09-19,2012-03-19,0.5454723565369903,1.6018572252420273,0.39331171455766184,2.2960214302815807
2012-03-20,2012-09-17,0.6225774680453008,1.819357746876057,0.3979331944460831,2.183704704042333
2012-09-18,2013-03-21,0.6437868383703268,1.8227693454107623,0.3947580160031448,2.365686587628369
2013-03-22,2013-09-19,0.6339369098628702,1.8246629073531828,0.3900592091120255,2.667254597111636
2013-09-20,2014-03-21,0.7476673813360707,2.100129894659794,0.3848394822052771,3.2373467303046928
2014-03-24,2014-09-19,0.7417047547237936,2.159090563551054,0.3908775951651018,3.435661496158205
2014-09-22,2015-03-23,0.7684834418388061,2.2781328058986547,0.3521248314587085,3.6735584714252294
2015-03-24,2015-09-21,0.7041155089740955,2.2294482140528205,0.3631025487855007,3.2969721187874828
2015-09-22,2016-03-22,0.6169752692955547,2.0547589230612795,0.38804750862539755,3.5174360994652094
2016-03-23,2016-09-20,0.7156336160530111,2.1961016618510776,0.34874881060546115,4.127201065748475
2016-09-21,2017-03-22,0.7399096412779469,2.372449937910766,0.3559089113816333,4.545582981294826
2017-03-23,2017-09-20,0.7231701039476075,2.4528442699973296,0.3503293656774887,4.889322561050711
2017-09-21,2018-03-22,0.716084311449421,2.463588812778436,0.3837470150300571,5.282196520099605
2018-03-23,2018-09-20,0.814037801614866,2.6140483907163605,0.3479631056139494,5.805730073770574
2018-09-21,2019-03-25,0.782091176001051,2.655753871911846,0.3274006794201825,5.8586190423570885
2019-03-26,2019-09-23,0.7060136748184109,2.626952309809268,0.33323830460176584,6.145736042717781
2019-09-24,2020-03-24,0.7259422198610347,2.7395701101133194,0.26749521816626576,5.386811986011939
2020-03-25,2020-09-22,0.47518986103372773,2.4687752929216416,0.22126579789641757,7.720341800673322
2020-09-23,2021-03-24,0.5723443933029974,3.31828976031308,0.1738742672609014,13.198337498485865
2021-03-25,2021-09-22,0.7041589836879606,4.5017618838977596,0.1599250137919462,14.283224047330032
2021-09-23,2022-03-23,0.6429485592329468,4.448825552134386,0.16546329005603083,16.427705126958084
2022-03-24,2022-09-22,0.6388029804640163,4.512214343138903,0.1582106334518051,13.184942466200377
2022-09-23,2023-03-24,0.5548452605937442,4.152628647840235,0.1336948632713018,13.901067609925077
2023-03-27,2023-09-25,0.5500965537327624,4.322133847189228,0.13146607694095347,15.231192976163795
2023-09-26,2024-03-26,0.5964294550606496,4.689539465531101,0.13913991250644703,19.145524879515754
2024-03-27,2024-09-25,0.6498719816648973,5.2306418601371805,0.1352375102518271,21.195762072861374
2024-09-26,2025-03-28,0.6311253289975215,5.308147825029479,0.13640693613172156,20.964827750659
2025-03-31,2025-09-29,0.5882928397910833,5.165554542450038,0.12373985784488742,26.36637785203129
